codigo,especificacao_da_receita,receita_orcada,realizada_ate_o_mes,pct_ate_o_mes_sobre_o_orcado
21210000,Emprestimos p/Contratos Externos-PMSP,49805547.63,149542.23,0.300252154862211
21220000,Emprestimos p/Contratos Externos-FUNDES,0,0,0
21230000,Emprestimos p/Contratos Externos-FUNAPS,0,0,0
21240000,Emprestimos p/Contratos Externos-FUTUR,0,0,0
22000000,ALIENAÇÃO DE BENS,92318.18,30531.74,33.0722941028517
22100000,ALIENAÇÃO DE BENS MÓVEIS,25644,0,0
22200000,ALIENAÇÃO DE BENS IMÓVEIS,66674.18,30541.74,45.8074475006667
24000000,TRANSFERÊNCIAS DE CAPITAL,1795125.8,778603.68,43.3732098329822
24200000,TRANSFERÊNCIAS INTERGOVERNAMENTAIS,1795125.8,778603.68,43.3732098329822
24210000,Transferencias da União,769369.08,739209.68,96.0799828347664
24210100,Participação na receita da União,51.27,0,0
24210101,Cota-parte do fundo de partc. dos municípios,0,0,0
24210102,Cota-parte do imposto único s/lubrifícantes e combustíveis líquidos e gasosos,0,0,0
24210103,Cota.-parte do adicional do imp.único s/lubrifícantes e combustivéis Iiquidos e gasosos,0,0,0
24210104,Cota-parte do imp.único s/energia elétrica,0,0,0
24210105,Cota-parte do ímposto único s/minerais,51.27,0,0
24210900,Outras transferências da União,769317.81,739209.68,96.0863859371721
24210901,Outras transferências da União-PMSP,769317.81,728915.41,94.7482822476188
24210902,Outras transferências da União-Fundo Esp. Lei 7225/86,0,10294.27,0
24210907,Outras transferências da União-FUNDES,0,0,0
24210909,Outras transferências da União-L.F.8069/90,0,0,0
24210910,Outras transferências da União-FUTUR,0,0,0
24220000,Transferências dos Estados,1025756.72,39394,3.84048178597358
24220900,Outras transferências dos Estados,1025756.72,39394,3.84048178597358
24220901,Outras transferências dos Estados-PMSP,1025756.72,39394,3.84048178597358
24220902,Outras transferências dos Estados-LOT. HABIT,0,0,0
24220907,Outras transferências dos Estados-FUNDES,0,0,0
24220908,Outras transferências da União-FUNAPS,0,0,0
24220908,Outras transferências dos Estados-FUNAPS,0,0,0
24220909,Outras transferências dos Estados-L.F8069/90-FUNCAD,0,0,0
24220910,Outras transferências dos Estados-FUTUR,0,0,0
24400000,Transferências do Exterior,0,0,0
24410000,Transferências Pessoas fisicas e juridicas do Exterior,0,0,0
24410100,Transferências Pessoas fisicas e juridicas do Exterior-FUNDES,0,0,0
24410200,Transferências Pessoas fisicas e juridicas do Exterior-FUNAPS,0,0,0
24410300,Transferências Pessoas fisicas e juridicas do Exterior-FUNCAD,0,0,0
24410400,Transferências Pessoas fisicas e juridicas do Exterior-FUTUR,0,0,0
24410900,Transferências Pessoas fisicas e juridicas do Exterior-PMSP,0,0,0
24500000,Transferências Pessoas ,0,0,0
24510000,Transferências Pessoas fisicas e juridicas do pais ,0,0,0
24510100,Transferências Pessoas fisicas e juridicas do pais-FUMDES ,0,0,0
24510200,Transferências Pessoas fisicas e juridicas do pais-FUNAPS,0,0,0
24510300,Transferências Pessoas fisicas e juridicas do pais-FUNCAD,0,0,0
24510400,Transferências Pessoas fisicas e juridicas do pais-FUTUR,0,0,0
24510900,Transferências Pessoas fisicas e juridicas do pais-PMSP ,0,0,0
25000000,OUTRAS RECEITAS DE CAPITAL,116339213.81,66152170.1,56.8614553370085
25900000,OUTRAS RECEITAS,116339213.81,66152170.1,56.8614553370085
25910100,OUTRAS RECEITAS-FUNDES,0,0,0
25910200,OUTRAS RECEITAS-OPERAC INTERLIG-FUNAPS,0,0,0
25910300,OUTRAS RECEITAS-FUNAPS,0,0,0
25910400,OUTRAS RECEITAS-FUNCAD,0,0,0
25910500,OUTRAS RECEITAS-FUTUR,0,0,0
25910900,OUTRAS RECEITAS-PMSP,116339213.81,66152170.1,56.8614553370085
95910000,OUTRAS RECEITAS-DIVERSAS,116339213.81,66152170.1,56.8614553370085
,TOTAL,972415615.28,2527322653.44,259.901487977677
